                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.99111,                 1.1694,                 1.3077,                0.73815,                0.63779,                0.69083,                0.43361,                 1.4258,                  1.567,                 1.8715,                0.00637,                0.00637,                0.00637
                     57,                 1.0278,                 1.1582,                  1.326,                0.75874,                0.59202,                 0.6926,                0.44929,                 1.3274,                 1.5032,                 1.7628,               0.006304,               0.006304,               0.006304
                     58,                 1.0036,                 1.1667,                 1.3229,                0.71592,                 0.6393,                0.67062,                0.42814,                  1.322,                 1.6278,                 1.7674,               0.006238,               0.006238,               0.006238
                     59,                0.95588,                 1.1102,                 1.3201,                0.77754,                0.60306,                0.70796,                0.44245,                  1.306,                 1.5418,                  1.739,               0.006172,               0.006172,               0.006172
                     60,                0.93582,                 1.0537,                 1.2778,                0.85312,                0.59467,                0.71398,                0.45667,                 1.3374,                 1.5262,                 1.7379,               0.006106,               0.006106,               0.006106
                     61,                 1.0048,                 1.1321,                 1.3258,                0.82843,                0.68923,                 0.7526,                0.51862,                 1.2696,                 1.4733,                 1.6838,                0.00604,                0.00604,                0.00604
                     62,                0.95877,                 1.0989,                  1.322,                0.78315,                0.64945,                0.72873,                0.50218,                 1.2693,                 1.5236,                 1.7028,               0.005974,               0.005974,               0.005974
                     63,                 0.9925,                 1.0827,                 1.2998,                  0.797,                0.63796,                0.70926,                0.47092,                 1.3014,                 1.5807,                 1.7184,               0.005908,               0.005908,               0.005908
                     64,                0.92745,                 1.0373,                 1.2671,                0.76113,                0.63634,                0.72524,                0.48291,                 1.2921,                 1.5367,                 1.7179,               0.005842,               0.005842,               0.005842
                     65,                0.97404,                 1.0598,                 1.3072,                0.79208,                0.62534,                0.71975,                0.49558,                 1.3096,                  1.468,                 1.7443,               0.005776,               0.005776,               0.005776
                     66,                0.92519,                 1.0445,                 1.2664,                0.72157,                0.65703,                0.71145,                0.49333,                 1.3042,                 1.5233,                 1.7288,                0.00571,                0.00571,                0.00571
                     67,                0.91924,                 1.0266,                  1.264,                0.65031,                0.67773,                0.70827,                0.49604,                  1.281,                  1.445,                 1.7439,               0.005644,               0.005644,               0.005644
                     68,                0.95051,                0.99527,                 1.2591,                0.73387,                 0.6314,                 0.6888,                0.46672,                 1.3677,                 1.5692,                 1.8205,               0.005578,               0.005578,               0.005578
                     69,                0.96214,                 1.0434,                  1.286,                0.73959,                0.63119,                0.68756,                 0.4648,                 1.3618,                 1.5172,                 1.7862,               0.005512,               0.005512,               0.005512
                     70,                0.90311,                0.99285,                 1.2535,                0.72266,                0.70219,                0.74392,                0.50942,                 1.2569,                 1.4711,                 1.6824,               0.005446,               0.005446,               0.005446
                     71,                0.94633,                 1.0024,                 1.2673,                0.75107,                0.62535,                0.71144,                0.48714,                 1.3593,                 1.4731,                 1.7648,                0.00538,                0.00538,                0.00538
